miRNA_ID	Target_ID
hsa-miR-6516-5p	ENSG00000176723
hsa-miR-6516-5p	ENSG00000178921
hsa-miR-6516-5p	ENSG00000174718
hsa-miR-6516-5p	ENSG00000188033
hsa-miR-6516-5p	ENSG00000172782
hsa-miR-6516-5p	ENSG00000141562
hsa-miR-6516-5p	ENSG00000168303
hsa-miR-6516-5p	ENSG00000168143
hsa-miR-6516-5p	ENSG00000169814
hsa-miR-6516-5p	ENSG00000167088
hsa-miR-6516-5p	ENSG00000166340
hsa-miR-6516-5p	ENSG00000166111
hsa-miR-6516-5p	ENSG00000163840
hsa-miR-6516-5p	ENSG00000163814
hsa-miR-6516-5p	ENSG00000162944
hsa-miR-143-3p	ENSG00000162882
hsa-miR-6516-5p	ENSG00000161921
hsa-miR-181a-2-3p	ENSG00000152495
hsa-miR-6516-5p	ENSG00000151806
hsa-miR-6516-5p	ENSG00000146909
hsa-miR-6516-5p	ENSG00000145569
hsa-miR-6516-5p	ENSG00000142166
hsa-miR-143-3p	ENSG00000011347
hsa-miR-6516-5p	ENSG00000110063
hsa-miR-6516-5p	ENSG00000099337
hsa-miR-6516-5p	ENSG00000125741
hsa-miR-6516-5p	ENSG00000075131
hsa-miR-6516-5p	ENSG00000144810
hsa-miR-6516-5p	ENSG00000205045
hsa-miR-6516-5p	ENSG00000125967
hsa-miR-6516-5p	ENSG00000125730
hsa-miR-6516-5p	ENSG00000111615
hsa-miR-6516-5p	ENSG00000100410
hsa-miR-6516-5p	ENSG00000183579
hsa-miR-6516-5p	ENSG00000112200
hsa-miR-6516-5p	ENSG00000005889
hsa-miR-6516-5p	ENSG00000172671
hsa-miR-143-3p	ENSG00000146858
hsa-miR-6516-5p	ENSG00000273274
hsa-miR-181a-2-3p	ENSG00000132612
hsa-miR-6516-5p	ENSG00000136731
hsa-miR-143-3p	ENSG00000143179
hsa-miR-181a-2-3p	ENSG00000157741
hsa-miR-6516-5p	ENSG00000184182
hsa-miR-6516-5p	ENSG00000143549
hsa-miR-6516-5p	ENSG00000136816
hsa-miR-184	ENSG00000105576
hsa-miR-6516-5p	ENSG00000164168
hsa-miR-6516-5p	ENSG00000188735
hsa-miR-143-3p	ENSG00000166012
hsa-miR-6516-5p	ENSG00000136450
hsa-miR-6516-5p	ENSG00000066117
hsa-miR-184	ENSG00000103257
hsa-miR-143-3p	ENSG00000173262
hsa-miR-143-3p	ENSG00000148339
hsa-miR-6516-5p	ENSG00000052723
hsa-miR-143-3p	ENSG00000166224
hsa-miR-6516-5p	ENSG00000183576
hsa-miR-143-3p	ENSG00000138593
hsa-miR-7974	ENSG00000124145
hsa-miR-181a-2-3p	ENSG00000163125
hsa-miR-143-3p	ENSG00000157916
hsa-miR-6516-5p	ENSG00000101773
hsa-miR-184	ENSG00000108557
hsa-miR-6516-5p	ENSG00000146676
hsa-miR-6516-5p	ENSG00000142949
hsa-miR-143-3p	ENSG00000154001
hsa-miR-450b-5p	ENSG00000181649
hsa-miR-7974	ENSG00000119403
hsa-miR-6516-5p	ENSG00000090060
hsa-miR-7974	ENSG00000108256
hsa-miR-6516-5p	ENSG00000108256
hsa-miR-184	ENSG00000141905
hsa-miR-143-3p	ENSG00000141905
hsa-miR-6516-5p	ENSG00000101079
hsa-miR-143-3p	ENSG00000061676
hsa-miR-6516-5p	ENSG00000120333
hsa-miR-6516-5p	ENSG00000171160
hsa-miR-7974	ENSG00000130382
hsa-miR-6516-5p	ENSG00000155545
hsa-miR-6516-5p	ENSG00000146166
hsa-miR-7974	ENSG00000117385
hsa-miR-143-3p	ENSG00000129451
hsa-miR-181a-2-3p	ENSG00000124702
hsa-miR-6516-5p	ENSG00000109787
hsa-miR-6516-5p	ENSG00000125629
hsa-miR-6516-5p	ENSG00000185436
hsa-miR-7974	ENSG00000137309
hsa-miR-6516-5p	ENSG00000051108
hsa-miR-6516-5p	ENSG00000143321
hsa-miR-6516-5p	ENSG00000172986
hsa-miR-143-3p	ENSG00000151233
hsa-miR-6516-5p	ENSG00000135677
hsa-miR-6516-5p	ENSG00000196743
hsa-miR-6516-5p	ENSG00000006007
hsa-miR-6516-5p	ENSG00000075420
hsa-miR-7974	ENSG00000115641
hsa-miR-6516-5p	ENSG00000130713
hsa-miR-6516-5p	ENSG00000156508
hsa-miR-6516-5p	ENSG00000119661
hsa-miR-6516-5p	ENSG00000168872
hsa-miR-6516-5p	ENSG00000119004
hsa-miR-143-3p	ENSG00000110925
hsa-miR-184	ENSG00000169714
hsa-miR-6516-5p	ENSG00000121940
hsa-miR-6516-5p	ENSG00000100422
hsa-miR-6516-5p	ENSG00000182504
hsa-miR-6516-5p	ENSG00000096401
hsa-miR-6516-5p	ENSG00000107771
hsa-miR-6516-5p	ENSG00000108100
hsa-miR-6516-5p	ENSG00000162063
hsa-miR-450b-5p	ENSG00000143933
hsa-miR-6516-5p	ENSG00000152785
hsa-miR-6516-5p	ENSG00000198908
hsa-miR-143-3p	ENSG00000105327
hsa-miR-6516-5p	ENSG00000123636
hsa-miR-6516-5p	ENSG00000105778
hsa-miR-6516-5p	ENSG00000152234
hsa-miR-181a-2-3p	ENSG00000141748
hsa-miR-6516-5p	ENSG00000177479
hsa-miR-6516-5p	ENSG00000106546
hsa-miR-6516-5p	ENSG00000138107
hsa-miR-143-3p	ENSG00000003436
hsa-miR-6516-5p	ENSG00000111799
hsa-miR-6516-5p	ENSG00000145687
hsa-miR-7974	ENSG00000242265
hsa-miR-181a-2-3p	ENSG00000158552
hsa-miR-6516-5p	ENSG00000197037
hsa-miR-450b-5p	ENSG00000132623
hsa-miR-6516-5p	ENSG00000079950
hsa-miR-7974	ENSG00000182272
hsa-miR-6516-5p	ENSG00000176390
hsa-miR-184	ENSG00000167363
hsa-miR-143-3p	ENSG00000145451
hsa-miR-7974	ENSG00000144320
hsa-miR-181a-2-3p	ENSG00000160551
hsa-miR-6516-5p	ENSG00000011347
hsa-miR-6516-5p	ENSG00000188612
hsa-miR-450b-5p	ENSG00000092421
hsa-miR-6516-5p	ENSG00000092421
hsa-miR-143-3p	ENSG00000178385
hsa-miR-143-3p	ENSG00000198182
hsa-miR-450b-5p	ENSG00000163947
hsa-miR-450b-5p	ENSG00000111816
hsa-miR-450b-5p	ENSG00000173200
hsa-miR-184	ENSG00000182040
hsa-miR-7974	ENSG00000174282
hsa-miR-450b-5p	ENSG00000169021
hsa-miR-143-3p	ENSG00000137267
hsa-miR-6516-5p	ENSG00000175895
hsa-miR-450b-5p	ENSG00000169813
hsa-miR-6516-5p	ENSG00000196968
hsa-miR-6516-5p	ENSG00000151292
hsa-miR-450b-5p	ENSG00000082258
hsa-miR-6516-5p	ENSG00000135932
hsa-miR-450b-5p	ENSG00000179909
hsa-miR-6516-5p	ENSG00000185634
hsa-miR-450b-5p	ENSG00000180233
hsa-miR-450b-5p	ENSG00000167380
hsa-miR-450b-5p	ENSG00000182568
hsa-miR-7974	ENSG00000137700
hsa-miR-7974	ENSG00000157654
