miRNA_ID	Target_ID
hsa-miR-27a-3p	ENSG00000196227
hsa-miR-27a-3p	ENSG00000099875
hsa-miR-27a-3p	ENSG00000205269
hsa-miR-27a-3p	ENSG00000119927
hsa-miR-27a-3p	ENSG00000113594
hsa-miR-27a-3p	ENSG00000136379
hsa-miR-27a-3p	ENSG00000114933
hsa-miR-27a-3p	ENSG00000048405
hsa-miR-27a-3p	ENSG00000141510
hsa-miR-27b-5p	ENSG00000170558
hsa-miR-29b-2-5p	ENSG00000108406
hsa-miR-29b-2-5p	ENSG00000111640
hsa-miR-29b-2-5p	ENSG00000065883
hsa-miR-27b-3p	ENSG00000160014
hsa-miR-27b-3p	ENSG00000141279
hsa-miR-27b-3p	ENSG00000162757
hsa-miR-27b-3p	ENSG00000107263
hsa-miR-27b-3p	ENSG00000156502
hsa-miR-27b-3p	ENSG00000203852
hsa-miR-27b-3p	ENSG00000174136
hsa-miR-27b-3p	ENSG00000169710
hsa-miR-27b-3p	ENSG00000054523
hsa-miR-27b-3p	ENSG00000114450
hsa-miR-27b-3p	ENSG00000108298
hsa-miR-27b-3p	ENSG00000008294
hsa-miR-27b-3p	ENSG00000080603
hsa-miR-27b-3p	ENSG00000111676
hsa-miR-27b-3p	ENSG00000187837
hsa-miR-27b-3p	ENSG00000101639
hsa-miR-27b-3p	ENSG00000141564
hsa-miR-27b-3p	ENSG00000164733
hsa-miR-27b-3p	ENSG00000131504
hsa-miR-27b-3p	ENSG00000204371
hsa-miR-27b-3p	ENSG00000138166
hsa-miR-27b-3p	ENSG00000158290
hsa-miR-27b-3p	ENSG00000138074
hsa-miR-27b-3p	ENSG00000180011
hsa-miR-27b-3p	ENSG00000134250
hsa-miR-27b-3p	ENSG00000005022
hsa-miR-27b-3p	ENSG00000148396
hsa-miR-27b-3p	ENSG00000139645
hsa-miR-27b-3p	ENSG00000055130
hsa-miR-27b-3p	ENSG00000153187
hsa-miR-27b-3p	ENSG00000058673
hsa-miR-27b-3p	ENSG00000100201
hsa-miR-27b-3p	ENSG00000120451
hsa-miR-27b-3p	ENSG00000165458
hsa-miR-27b-3p	ENSG00000159086
hsa-miR-27b-3p	ENSG00000050748
hsa-miR-27b-3p	ENSG00000149150
hsa-miR-27b-3p	ENSG00000204576
hsa-miR-27b-3p	ENSG00000100330
hsa-miR-27b-3p	ENSG00000051596
hsa-miR-27b-3p	ENSG00000196233
hsa-miR-27b-3p	ENSG00000122566
hsa-miR-27b-3p	ENSG00000011332
hsa-miR-27b-3p	ENSG00000066629
hsa-miR-27b-3p	ENSG00000146701
hsa-miR-27b-3p	ENSG00000143442
hsa-miR-27b-3p	ENSG00000015171
hsa-miR-27b-3p	ENSG00000104341
hsa-miR-27b-3p	ENSG00000138326
hsa-miR-27b-3p	ENSG00000169213
hsa-miR-27b-3p	ENSG00000109265
hsa-miR-27b-3p	ENSG00000178234
hsa-miR-27b-3p	ENSG00000124459
hsa-miR-27b-3p	ENSG00000139263
hsa-miR-27b-3p	ENSG00000076108
hsa-miR-27b-3p	ENSG00000123191
hsa-miR-27b-3p	ENSG00000100258
hsa-miR-27b-3p	ENSG00000174231
hsa-miR-27b-3p	ENSG00000156697
hsa-miR-27b-3p	ENSG00000167721
hsa-miR-27b-3p	ENSG00000169813
hsa-miR-27b-3p	ENSG00000130985
